project,name,url,what
vhp,VHP4Safety platform,https://platform.vhp4safety.nl,One entry point to the chemical safety services the consortium runs.
aopwiki-rdf,AOP-Wiki SPARQL endpoint,https://aopwiki.rdf.bigcat-bioinformatics.org/sparql,"The AOP-Wiki as queryable RDF, one named graph per release."
aopwiki-rdf,AOP-Wiki RDF dashboard,https://aopwiki-dashboard.vhp4safety.nl,"Charts of the RDF, every one showing the SPARQL query behind it."
molaop,molAOP Builder,https://molaop-builder.vhp4safety.nl,"Curate key event to pathway mappings, with a confidence assessment."
molaop,molAOP Analyser,https://molaop-analyser.vhp4safety.nl,Analyse the resulting molecular AOPs.
